corsid,state,site_name,site_code,coordinates_of_sites_dms_lat,coordinates_of_sites_dms_long,coordinates_of_sites_dms_elp_height
50001A001,Punjab,ABOHAR,ABOH,30 9 31.27533168,74 11 4.07870114,143.8095
50002A001,Ladakh,ABRAN,ARAN,33 41 34.754417859919,76 34 51.7162608553751,3732.773192
50003A001,Maharashtra,ACHALPUR,APUR,21 17 17.07093,77 30 42.48291,322.5562
50004A001,Gujarat,ADESAR,ADER,23 33 16.534498434879,70 59 18.5887395328967,-14.75355
50005A001,Tripura,AGARTALA,AGAR,23 49 32.355293784,91 18 46.788570255,-21.592814
50006A001,Tamilnadu,AGASTHASWEERAM,AGWM,8 10 49.3676276473205,77 25 26.4776474217595,-31.22584
50007A001, Lakshdweep,AGATTI,AGAT,10 52 29.5022313317308,72 11 56.4490475477718,-77.82731
50008A001,Gujarat,AHWA,AHWA,20 45 12.1047516338382,73 41 24.4109390969462,446.40618
50009A001,Mizoram,AIZAWL,AIZA,23 43 51.599461322,92 41 42.170380866,828.493305
50010A001,Maharashtra,AJARA,AJRA,16 7 11.64399,74 12 33.60437,589.748
50011A001,Madhya Pradesh,AJAYGARH,AJAU,24 54 37.726991142015,80 15 6.10041706546247,138.7725
50012A001,Maharashtra,AKALKOT,AKLT,17 23 33.62204,75 58 34.67345,374.4573
50013A001,Uttar pradesh,AKBARPUR,AKBA,26 26 48.8153435457825,82 33 35.234640856776,25.1835
50014A001,Maharashtra,AKKALKUA,AKUA,21 33 3.54844,74 1 6.89845,69.2458
50015A001,Maharashtra,AKLUJ TAL,ATAL,17 52 56.70868,75 1 5.38078,415.2365
50016A001,Maharashtra,AKOLE,AKOE,19 25 58.27964,73 57 36.69698,644.909
50017A001,Tamilnadu,ALANGUDI,ALAN,10 21 52.3875035848417,78 58 50.1085643929608,-6.11625
50018A001,Karnataka,ALGUNDI,AGNI,16 15 28.83063,75 25 34.11439,449.6675
50019A001,Uttar pradesh,ALIGANJ,ALIG,27 30 0.135513184782504,79 9 44.502132876776,100.8182
50020A001,Uttar pradesh,ALIGARH,ALGR,27 53 42.0283150457825,78 3 41.505158256776,139.1594
50021A001,West Bengal,ALIPURDUAR,ALIP,26 29 57.8351496061893,89 31 45.9388332536368,0.04528
50022A001,Madhya Pradesh,ALIRAJPUR,ALIR,22 19 1.991309,74 21 27.074986,237.3466
50023A001,Telangana,ALLAPALLY,ALLA,17 49 46.9591319803138,80 28 26.4997761713724,111.79531
50024A001,Maharashtra,AMALNER,ANER,21 2 38.4318,75 1 55.20404,155.3109
50025A001,Madhya Pradesh,AMANGANI,AMAN,24 24 54.3449046101607,80 1 59.6682059995991,256.70552
50026A001,Rajasthan,AMARSAGAR,AMAR,26 55 42.619595,70 52 40.092605,211.4627
50027A001,Tamilnadu,AMBASAMUTHRAM,AMSM,8 42 10.5893992974558,77 27 24.9691424212998,-16.86288
50028A001,Tripura,AMBASSA,AMBA,23 54 42.163790549,91 53 18.519760719,65.564527
50029A001,Kerla,AMBLALAPUZHA,AZHA,9 27 30.8574141736519,76 19 58.2457273027846,-86.55532
