corsid,state_name,site_name,site_code
50001A001,Punjab,ABOHAR,ABOH
50002A001,Ladakh,ABRAN,ARAN
50003A001,Maharashtra,ACHALPUR,APUR
50004A001,Gujarat,ADESAR,ADER
50005A001,Tripura,AGARTALA,AGAR
50006A001,Tamilnadu,AGASTHASWEERAM,AGWM
50007A001, Lakshdweep,AGATTI,AGAT
50008A001,Gujarat,AHWA,AHWA
50009A001,Mizoram,AIZAWL,AIZA
50010A001,Maharashtra,AJARA,AJRA
50011A001,Madhya Pradesh,AJAYGARH,AJAU
50012A001,Maharashtra,AKALKOT,AKLT
50013A001,Uttar pradesh,AKBARPUR,AKBA
50014A001,Maharashtra,AKKALKUA,AKUA
50015A001,Maharashtra,AKLUJ TAL,ATAL
50016A001,Maharashtra,AKOLE,AKOE
50017A001,Tamilnadu,ALANGUDI,ALAN
50018A001,Karnataka,ALGUNDI,AGNI
50019A001,Uttar pradesh,ALIGANJ,ALIG
50020A001,Uttar pradesh,ALIGARH,ALGR
50021A001,West Bengal,ALIPURDUAR,ALIP
50022A001,Madhya Pradesh,ALIRAJPUR,ALIR
50023A001,Telangana,ALLAPALLY,ALLA
50024A001,Maharashtra,AMALNER,ANER
50025A001,Madhya Pradesh,AMANGANI,AMAN
50026A001,Rajasthan,AMARSAGAR,AMAR
50027A001,Tamilnadu,AMBASAMUTHRAM,AMSM
50028A001,Tripura,AMBASSA,AMBA
50029A001,Kerla,AMBLALAPUZHA,AZHA
50030A001,Himachal Pradesh,AMBUNA,AMBU
50031A001,Rajasthan,AMETH,AMET
50032A001,Assam,AMGURI,AMGU
50033A001, Lakshdweep,AMINI,AMIN
50034A001,Meghalaya,AMPATI,AMPA
50035A001,Telangana,AMRABAD,AMRB
50036A001,Punjab,AMRITSAR,AMRI
50037A001,Assam,AMTEKA,AMTE
50038A001,Punjab,ANADPURSAHIB,ANAD
50039A001,Telangana,ANDOLEMEDAK,ANDM
50040A001,Lakshdweep Wing,ANDROTH,ANDR
50041A001,Karnataka,ANKOLA,ANKA
50042A001,Telangana,ANNAPUREDDYPALLY,ANNA
50043A001,Tamilnadu,ANNUR,ANNU
50044A001,Tamilnadu,ANTHIYUR,ANTH
50045A001,Madhya Pradesh,ANUPPUR,ANPR
50046A001,Uttar pradesh,ANUPSHAHAR,ANUP
50047A001,Meghalaya,ARADONGA,ARAD
50048A001,Rajasthan,ARAIN,ARAI
50049A001,West Bengal,ARAMBAG,ARAM
50050A001,Bihar,ARARIA,ARAR
50051A001,Madhya Pradesh,ARON,ARON
50052A001,Arunanchal Pradesh,ARZOO,ARZO
50053A001,West Bengal,ASANSOL,ASAN
50054A001,Madhya Pradesh,ASHTA,ASHT
50055A001,Maharashtra,ASHTI,ASTI
50056A001,Telangana,ASIFABAD,ASIF
50057A001,Odisha,ASTARANGA,ASTA
50058A001,Karnataka,ATHANI BELGAUM,ATBM
50059A001,Kerla,ATHIRAPPILLY,ALLY
50060A001,Tamilnadu,ATHUR,ATUR
50061A001,Uttar pradesh,AURAIYA,AURA
50062A001,Kerla,AZHOOR,AOOR
50063A001,Arunanchal Pradesh,BAANA,BAAN
50064A001,Madhya Pradesh,BABAI,BABA
50065A001,Gujarat,BACHAU,BHAU
50066A001,Uttar pradesh,BACHHRAWAN,BACH
50067A001,Madhya Pradesh,BADAGAON,BADA
